"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Edwin Encarnacion","Indians","155","651","550","139","25","1","38","94","107","89","134","6","2","1",".253",".360",".506",".866",".366","0.0","-2.8","2.6","56.4","2151"
"Francisco Lindor","Indians","158","665","594","175","35","3","26","99","89","58","83","4","15","7",".294",".358",".493",".851",".360","13.4","0.1","6.2","20.9","12916"
"Jose Ramirez","Indians","158","665","599","178","44","4","22","93","93","55","68","4","18","9",".297",".358",".492",".850",".359","4.2","1.2","4.9","19.1","13510"
"Michael Brantley","Indians","128","539","480","141","31","1","16","71","71","50","70","3","10","4",".293",".360",".462",".823",".350","-2.7","0.7","2.0","246.7","4106"
"Yonder Alonso","Indians","133","560","488","132","27","1","20","71","74","63","107","3","3","2",".270",".355",".453",".807",".345","0.8","-1.5","1.7","301.0","2530"
"Yandy Diaz","Indians","33","140","121","35","6","1","2","16","15","16","27","1","1","1",".287",".372",".402",".774",".339","0.0","0.0","0.7","500.8","16578"
"Lonnie Chisenhall","Indians","100","420","380","101","23","2","13","50","53","32","86","3","5","2",".266",".325",".441",".767",".326","-0.8","0.5","1.0","393.7","7571"
"Jason Kipnis","Indians","142","595","529","138","34","2","16","76","66","52","121","6","10","5",".261",".331",".423",".754",".325","-0.7","1.2","1.9","261.5","9776"
"Brandon Guyer","Indians","50","210","183","47","10","1","5","25","23","15","41","9","2","1",".256",".339",".401",".739",".323","-0.3","-0.1","0.4","717.0","2636"
"Tyler Naquin","Indians","3","14","13","3","1","0","0","2","2","1","4","0","0","0",".262",".327",".416",".744",".319","0.0","0.0","0.0","682.0","13359"
"Abraham Almonte","Indians","30","126","112","29","7","1","3","14","14","11","28","1","3","1",".256",".326",".403",".730",".314","0.1","0.0","0.2","999.0","5486"
"Francisco Mejia","Indians","20","86","80","21","4","0","2","10","11","5","15","1","1","1",".267",".312",".418",".730",".311","0.0","0.0","0.2","344.8","16403"
"Bradley Zimmer","Indians","125","525","464","113","24","3","15","62","59","47","159","6","23","11",".242",".318",".401",".720",".311","3.5","1.1","1.8","204.4","16221"
"Roberto Perez","Indians","76","320","277","63","14","1","9","37","35","36","88","2","3","2",".226",".317",".383",".700",".306","3.5","-0.7","1.5","578.3","2900"
"Yan Gomes","Indians","61","256","233","54","12","0","10","29","32","15","67","4","1","1",".233",".287",".410",".697",".298","2.5","-0.1","1.0","389.2","9627"
"Greg Allen","Indians","8","35","31","8","2","0","0","4","3","2","7","1","1","1",".247",".314",".349",".663",".292","-0.1","0.0","0.0","625.1","16623"
"Giovanny Urshela","Indians","42","175","163","42","8","0","4","19","19","9","27","1","1","0",".256",".296",".380",".676",".291","0.3","-0.4","0.1","999.0","10681"
"Melvin Upton Jr.","Indians","42","175","158","36","7","1","5","19","20","14","50","1","5","2",".226",".292",".379",".671",".290","-0.8","0.1","0.0","999.0","5015"
"Eric Haase","Indians","3","13","12","2","0","0","1","1","2","1","4","0","0","0",".206",".273",".389",".662",".284","0.0","0.0","0.0","999.0","sa601042"
"Erik Gonzalez","Indians","17","70","66","16","3","0","2","7","7","3","19","0","2","1",".244",".277",".375",".652",".279","-0.2","0.0","0.0","665.3","13369"
"Yu-Cheng Chang","Indians","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","999.0","sa830276"
"Willi Castro","Indians","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","680.0","sa830274"
"Eric Stamets","Indians","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000",".000","0.0","0.0","0.0","999.0","sa621787"
